Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
EXPD,"972,130",118.34,-,-,2023-08-08,Before Market Open,-,Industrials,Integrated Freight & Logistics
EXPE,"2,506,410",106.93,-,-,2023-08-03,Before Market Open,7.8,Consumer Cyclical,Travel Services
EXPR,"70,740",8.99,-,-,2023-09-06,Before Market Open,11.3,Consumer Cyclical,Apparel Retail
EXR,"1,977,860",126.21,-,-,2023-08-03,After Close,2.7,Real Estate,REIT - Industrial
FAF,"499,310",60.41,-,-,2023-07-27,Before Market Open,3,Financial,Insurance - Specialty
FANG,"1,944,800",157.92,-,-,2023-07-31,After Close,-,Energy,Oil & Gas E&P
FAST,"3,052,500",54.82,-,-,2023-07-13,Before Market Open,4.8,Industrials,Industrial Distribution
FCX,"10,614,980",40.68,-,-,2023-07-20,Before Market Open,4.3,Basic Materials,Copper
FDX,"1,985,270",257.03,-,-,2023-09-20,After Close,4.6,Industrials,Integrated Freight & Logistics
FE,"2,963,900",36.89,-,-,2023-08-01,After Close,2.1,Utilities,Utilities - Regulated Electric
FET,"75,060",24.90,-,-,2023-08-03,After Close,-,Energy,Oil & Gas Equipment & Services
FFIV,"519,730",160.72,-,-,2023-07-24,After Close,-,Technology,Software - Infrastructure
FIS,"4,402,830",56.38,-,-,2023-08-02,Before Market Open,3.5,Technology,Information Technology Services
FITB,"5,179,100",27.52,-,-,2023-07-20,Before Market Open,-,Financial,Banks - Regional
FIVE,"677,310",160.80,-,-,2023-08-30,After Close,6.5,Consumer Cyclical,Specialty Retail
FL,"4,375,650",18.49,-,-,2023-08-23,Before Market Open,8,Consumer Cyclical,Apparel Retail
FLO,"1,768,090",23.11,-,-,2023-08-10,After Close,-,Consumer Defensive,Packaged Foods
FLR,"1,802,740",35.59,-,-,2023-08-04,Before Market Open,6.1,Industrials,Engineering & Construction
FLS,"900,860",39.03,-,-,2023-08-01,After Close,5,Industrials,Specialty Industrial Machinery
FLT,"433,680",273.67,-,-,2023-08-08,After Close,-,Technology,Software - Infrastructure
FMC,"1,555,060",75.61,-,-,2023-08-02,After Close,-,Basic Materials,Agricultural Inputs
FNF,"1,386,390",42.29,-,-,2023-08-08,After Close,2.3,Financial,Insurance - Specialty
FNV,"415,980",142.07,-,-,2023-08-08,After Close,2.6,Basic Materials,Gold
FOLD,"2,263,930",13.11,-,-,2023-08-08,Before Market Open,-,Healthcare,Biotechnology
FOSL,"416,060",2.26,-,-,2023-08-09,After Close,14.4,Consumer Cyclical,Luxury Goods
FOX,"984,920",29.52,-,-,2023-08-08,Before Market Open,3.1,Communication Services,Entertainment
FOXA,"4,168,860",32.03,-,-,2023-08-08,Before Market Open,4.1,Communication Services,Entertainment
FR,"929,670",51.54,-,-,2023-07-19,After Close,1.3,Real Estate,REIT - Industrial
FSLR,"1,981,730",177.00,-,-,2023-07-27,After Close,10.3,Technology,Solar
FTI,"6,583,400",20.79,-,-,2023-07-27,Before Market Open,-,Energy,Oil & Gas Equipment & Services
FTK,"179,650",0.86,-,-,2023-08-08,After Close,-,Energy,Oil & Gas Equipment & Services
FTNT,"6,275,280",63.10,-,-,2023-08-03,After Close,8.3,Technology,Software - Infrastructure
G,"1,247,750",37.03,-,-,2023-08-09,After Close,3.9,Technology,Information Technology Services
GBX,"331,980",39.85,-,-,2023-06-29,Before Market Open,-,Industrials,Railroads
GCI,"1,788,660",2.93,-,-,2023-08-03,Before Market Open,-,Communication Services,Publishing
GD,"1,076,950",221.46,-,-,2023-07-26,Before Market Open,2.6,Industrials,Aerospace & Defense
GE,"4,542,370",115.65,-,-,2023-07-25,Before Market Open,-,Industrials,Specialty Industrial Machinery
GES,"992,330",22.52,-,-,2023-08-23,After Close,12.9,Consumer Cyclical,Apparel Retail
GILD,"5,631,770",77.36,-,-,2023-08-03,After Close,-,Healthcare,Drug Manufacturers - General
GIS,"3,826,040",66.36,-,-,2023-09-20,Before Market Open,2.5,Consumer Defensive,Packaged Foods
GLNG,"927,460",23.91,-,-,2023-08-10,Before Market Open,4.8,Energy,Oil & Gas Midstream
GLPI,"1,318,050",48.50,-,-,2023-07-27,After Close,1.8,Real Estate,REIT - Specialty
GLW,"4,119,260",31.48,-,-,2023-07-25,Before Market Open,4.6,Technology,Electronic Components
GM,"12,628,080",33.66,-,-,2023-07-25,Before Market Open,3.2,Consumer Cyclical,Auto Manufacturers
GME,"2,809,360",18.33,-,-,2023-09-06,After Close,8,Consumer Cyclical,Specialty Retail
GNRC,"1,610,150",111.92,-,-,2023-08-02,Before Market Open,-,Industrials,Specialty Industrial Machinery
GNTX,"1,290,080",32.22,-,-,2023-07-28,Before Market Open,5.7,Consumer Cyclical,Auto Parts
GOLD,"13,336,680",16.33,-,-,2023-08-08,Before Market Open,3.5,Basic Materials,Gold
GOOG,"22,722,280",138.99,-,-,2023-07-25,After Close,4.3,Communication Services,Internet Content & Information
GOOGL,"29,216,450",138.10,-,-,2023-07-25,After Close,4.3,Communication Services,Internet Content & Information
GPC,"862,260",150.20,-,-,2023-07-20,Before Market Open,3,Consumer Cyclical,Specialty Retail
GPN,"2,001,290",125.68,-,-,2023-08-01,Before Market Open,4.7,Industrials,Specialty Business Services
GPOR,"199,250",119.94,-,-,2023-08-01,After Close,-,Energy,Oil & Gas E&P
GPRO,"1,325,070",3.56,-,-,2023-08-03,After Close,10.2,Technology,Consumer Electronics
GPS,"7,539,300",10.99,-,-,2023-08-24,After Close,-,Consumer Cyclical,Apparel Retail
GRFS,"698,050",9.86,-,-,2023-07-27,Before Market Open,2.7,Healthcare,Drug Manufacturers - General
GRMN,"760,880",106.57,-,-,2023-08-02,Before Market Open,6,Technology,Scientific & Technical Instruments
GS,"2,236,220",344.57,-,-,2023-07-19,Before Market Open,-,Financial,Capital Markets
GSK,"3,474,610",37.39,-,-,2023-07-26,Before Market Open,-,Healthcare,Drug Manufacturers - General
GSM,"991,010",5.61,-,-,2023-08-14,After Close,-,Basic Materials,Other Industrial Metals & Mining
GT,"4,134,870",12.71,-,-,2023-08-02,After Close,6.6,Consumer Cyclical,Auto Parts
GWW,"260,420",696.26,-,-,2023-07-27,Before Market Open,-,Industrials,Industrial Distribution
H,"653,940",107.37,-,-,2023-08-03,Before Market Open,-,Consumer Cyclical,Lodging
HA,"1,444,350",8.12,-,-,2023-07-25,After Close,6.3,Industrials,Airlines
HAIN,"984,490",10.25,-,-,2023-08-24,Before Market Open,-,Consumer Defensive,Packaged Foods
HAL,"7,923,090",42.21,-,-,2023-07-19,Before Market Open,3.3,Energy,Oil & Gas Equipment & Services
HALO,"1,046,600",40.52,-,-,2023-08-08,After Close,4.3,Healthcare,Biotechnology
HAS,"1,649,480",68.13,-,-,2023-08-03,Before Market Open,5.8,Consumer Cyclical,Leisure
HBI,"7,656,900",4.68,-,-,2023-08-10,Before Market Open,7.3,Consumer Cyclical,Apparel Manufacturing
HCA,"1,259,950",263.58,-,-,2023-07-27,Before Market Open,3.3,Healthcare,Medical Care Facilities
HCP,"1,994,590",25.17,-,-,2023-08-31,After Close,-,Technology,Software - Infrastructure
HD,"3,237,280",329.63,-,-,2023-08-15,Before Market Open,-,Consumer Cyclical,Home Improvement Retail
HES,"1,698,460",164.88,-,-,2023-07-26,Before Market Open,-,Energy,Oil & Gas E&P
HIG,"1,350,080",73.34,-,-,2023-07-27,After Close,-,Financial,Insurance - Diversified
HIW,"1,055,000",22.84,-,-,2023-07-25,After Close,1.4,Real Estate,REIT - Office
HLF,"1,448,050",15.01,-,-,2023-08-02,After Close,7,Consumer Defensive,Packaged Foods
HLT,"1,798,770",156.15,-,-,2023-07-26,Before Market Open,2.7,Consumer Cyclical,Lodging
HOG,"1,415,440",34.38,-,-,2023-07-27,Before Market Open,-,Consumer Cyclical,Recreational Vehicles
HOLX,"1,760,070",72.35,-,-,2023-07-31,After Close,-,Healthcare,Medical Instruments & Supplies
HON,"2,718,300",193.56,-,-,2023-07-27,Before Market Open,2.1,Industrials,Conglomerates
HP,"1,330,740",45.96,-,-,2023-07-26,After Close,-,Energy,Oil & Gas Drilling
HPE,"11,517,630",17.21,-,-,2023-08-29,After Close,-,Technology,Communication Equipment
HR,"2,429,330",16.84,-,-,2023-08-08,Before Market Open,1.3,Real Estate,REIT - Healthcare Facilities
HRB,"1,360,140",39.41,-,-,2023-08-15,After Close,7,Consumer Cyclical,Personal Services
HRL,"1,926,020",38.41,-,-,2023-08-31,Before Market Open,3.6,Consumer Defensive,Packaged Foods
HSBC,"1,633,210",39.37,-,-,2023-08-01,Before Market Open,2.7,Financial,Banks - Diversified
HST,"7,215,110",16.26,-,-,2023-08-02,After Close,2.2,Real Estate,REIT - Hotel & Motel
HSY,"1,252,950",211.79,-,-,2023-07-27,Before Market Open,-,Consumer Defensive,Confectioners
HTLD,"261,700",16.03,-,-,2023-07-31,Before Market Open,-,Industrials,Trucking
HTZ,"2,748,290",16.36,-,-,2023-07-27,Before Market Open,-,Industrials,Rental & Leasing Services
HUM,"1,421,160",471.57,-,-,2023-08-02,Before Market Open,3.2,Healthcare,Healthcare Plans
HUN,"1,915,530",25.73,-,-,2023-07-31,After Close,3.8,Basic Materials,Chemicals
HZNP,"2,296,870",115.35,-,-,2023-08-08,Before Market Open,-,Healthcare,Drug Manufacturers - General
IAC,"563,440",53.05,-,-,2023-08-08,After Close,-,Communication Services,Internet Content & Information
IBKR,"921,410",92.70,-,-,2023-07-18,After Close,-,Financial,Capital Markets
IBM,"4,074,230",147.35,-,-,2023-07-19,After Close,4.1,Technology,Information Technology Services
ICE,"2,359,080",116.90,-,-,2023-08-03,Before Market Open,3.3,Financial,Financial Data & Stock Exchanges
ILMN,"1,567,230",150.49,-,-,2023-08-09,After Close,7.2,Healthcare,Diagnostics & Research
IMAX,"577,780",18.53,-,-,2023-07-26,After Close,5.9,Communication Services,Entertainment
IMGN,"4,786,690",15.76,-,-,2023-07-31,Before Market Open,-,Healthcare,Biotechnology
INCY,"1,725,670",63.48,-,-,2023-08-01,Before Market Open,3.9,Healthcare,Biotechnology
INFN,"2,466,350",4.32,-,-,2023-08-09,After Close,-,Technology,Communication Equipment
INTC,"39,514,920",38.67,-,-,2023-07-27,Before Market Open,-,Technology,Semiconductors
INTU,"1,423,190",547.60,-,-,2023-08-24,After Close,3.9,Technology,Software - Application
INVA,"545,150",12.78,-,-,2023-08-02,After Close,-,Healthcare,Biotechnology
IONS,"948,540",43.64,-,-,2023-08-09,Before Market Open,-,Healthcare,Biotechnology
IP,"2,979,640",34.61,-,-,2023-07-27,Before Market Open,3.1,Consumer Cyclical,Packaging & Containers
IPG,"4,349,020",31.05,-,-,2023-07-21,Before Market Open,4.3,Communication Services,Advertising Agencies
IR,"2,405,490",66.56,-,-,2023-08-02,After Close,3.6,Industrials,Specialty Industrial Machinery
IRM,"1,355,930",63.82,-,-,2023-08-03,Before Market Open,-,Real Estate,REIT - Specialty
IRWD,"2,179,120",8.52,-,-,2023-08-08,Before Market Open,-,Healthcare,Drug Manufacturers - Specialty & Generic
ITW,"1,029,780",239.67,-,-,2023-08-01,Before Market Open,2.6,Industrials,Specialty Industrial Machinery
IVZ,"3,837,590",15.51,-,-,2023-07-25,Before Market Open,3.1,Financial,Asset Management
JBHT,"774,120",190.68,-,-,2023-07-18,After Close,-,Industrials,Integrated Freight & Logistics
JBL,"1,249,330",108.68,-,-,2023-09-28,Before Market Open,7.1,Technology,Electronic Components
JBLU,"16,339,390",5.13,-,-,2023-08-01,Before Market Open,3.9,Industrials,Airlines
JCI,"3,976,880",57.12,-,-,2023-08-02,Before Market Open,3.7,Industrials,Building Products & Equipment
JD,"10,047,360",31.72,-,-,2023-08-16,Before Market Open,5.3,Consumer Cyclical,Internet Retail
JKS,"808,650",30.56,-,-,2023-08-14,Before Market Open,6.6,Technology,Solar
JNJ,"22,846,130",163.74,-,-,2023-07-20,Before Market Open,-,Healthcare,Drug Manufacturers - General
JNPR,"3,724,220",28.35,-,-,2023-07-27,After Close,6,Technology,Communication Equipment
JPM,"9,354,460",149.25,-,-,2023-07-14,Before Market Open,-,Financial,Banks - Diversified
JWN,"4,682,420",14.85,-,-,2023-08-25,Before Market Open,6,Consumer Cyclical,Department Stores
K,"2,375,010",59.91,-,-,2023-08-03,Before Market Open,2.9,Consumer Defensive,Packaged Foods
KAR,"569,360",15.82,-,-,2023-08-02,After Close,5.6,Consumer Cyclical,Auto & Truck Dealerships
KBH,"1,584,240",49.91,-,-,2023-09-20,After Close,5.4,Consumer Cyclical,Residential Construction
KBR,"1,115,500",60.82,-,-,2023-07-27,Before Market Open,4.6,Industrials,Engineering & Construction
KEX,"327,350",86.19,-,-,2023-07-27,Before Market Open,-,Industrials,Marine Shipping
KEYS,"1,317,700",133.12,-,-,2023-08-17,After Close,5,Technology,Scientific & Technical Instruments
KHC,"7,635,270",33.77,-,-,2023-08-02,Before Market Open,5.4,Consumer Defensive,Packaged Foods
KIM,"4,346,120",19.06,-,-,2023-07-27,Before Market Open,2.6,Real Estate,REIT - Retail
KKR,"3,335,910",63.72,-,-,2023-08-07,Before Market Open,-,Financial,Asset Management
KLAC,"960,480",479.90,-,-,2023-07-27,After Close,-,Technology,Semiconductor Equipment & Materials
KMB,"1,662,530",125.88,-,-,2023-07-25,Before Market Open,2.3,Consumer Defensive,Household & Personal Products
KMI,"12,690,730",17.31,-,-,2023-07-19,After Close,-,Energy,Oil & Gas Midstream
KMT,"688,520",25.52,-,-,2023-08-01,Before Market Open,-,Industrials,Tools & Accessories
KMX,"1,601,040",83.85,-,-,2023-09-28,Before Market Open,6.3,Consumer Cyclical,Auto & Truck Dealerships
KN,"521,410",14.39,-,-,2023-08-02,After Close,-,Technology,Communication Equipment
KNX,"1,830,840",53.57,-,-,2023-07-20,After Close,3.8,Industrials,Trucking
KO,"12,107,110",58.46,-,-,2023-07-26,Before Market Open,2.1,Consumer Defensive,Beverages - Non-Alcoholic
KR,"4,777,750",45.79,-,-,2023-09-08,Before Market Open,-,Consumer Defensive,Grocery Stores
KRC,"1,068,530",36.09,-,-,2023-07-31,After Close,-,Real Estate,REIT - Office
KSS,"3,817,790",22.76,-,-,2023-08-23,Before Market Open,5.7,Consumer Cyclical,Department Stores
L,"687,550",64.54,-,-,2023-07-31,Before Market Open,2.7,Financial,Insurance - Property & Casualty
LAZ,"680,610",33.17,-,-,2023-07-27,Before Market Open,3.4,Financial,Capital Markets
LBTYA,"2,059,860",18.31,-,-,2023-07-24,After Close,2.6,Communication Services,Telecom Services
LBTYK,"2,375,800",19.66,-,-,2023-07-24,After Close,2.5,Communication Services,Telecom Services
LC,"1,814,410",6.83,-,-,2023-07-26,After Close,8.7,Financial,Credit Services
LEA,"569,310",138.61,-,-,2023-08-01,Before Market Open,-,Consumer Cyclical,Auto Parts
LEG,"1,388,890",26.81,-,-,2023-07-31,After Close,4.5,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LEN,"2,184,330",117.70,2023-09-15,09:49:00,2023-09-14,After Close,4.3,Consumer Cyclical,Residential Construction
LH,"764,900",203.64,-,-,2023-07-27,Before Market Open,-,Healthcare,Diagnostics & Research
LKQ,"1,233,440",50.33,-,-,2023-07-27,Before Market Open,4.8,Consumer Cyclical,Auto Parts
LL,"550,090",2.91,-,-,2023-08-09,Before Market Open,-,Consumer Cyclical,Home Improvement Retail
LLY,"2,870,740",591.61,-,-,2023-08-08,Before Market Open,2,Healthcare,Drug Manufacturers - General
LMT,"1,033,770",425.89,-,-,2023-07-18,Before Market Open,2.4,Industrials,Aerospace & Defense
LNC,"2,365,410",25.71,-,-,2023-08-02,After Close,4.2,Financial,Insurance - Life
LNG,"1,370,600",165.56,-,-,2023-08-03,Before Market Open,2.3,Energy,Oil & Gas Midstream
LOW,"2,488,850",230.87,-,-,2023-08-22,Before Market Open,4.5,Consumer Cyclical,Home Improvement Retail
LPLA,"631,920",245.49,-,-,2023-07-27,After Close,-,Financial,Capital Markets
LPX,"1,005,090",59.25,-,-,2023-08-02,Before Market Open,3.9,Industrials,Building Products & Equipment
LRCX,"1,146,360",656.43,-,-,2023-07-26,After Close,4.7,Technology,Semiconductor Equipment & Materials
LULU,"1,202,970",388.74,-,-,2023-08-31,After Close,-,Consumer Cyclical,Apparel Retail
LUV,"7,561,800",28.94,-,-,2023-07-27,Before Market Open,4,Industrials,Airlines
LVS,"4,338,880",48.93,-,-,2023-07-19,After Close,4.8,Consumer Cyclical,Resorts & Casinos
LYB,"1,993,010",100.69,-,-,2023-08-04,Before Market Open,-,Basic Materials,Specialty Chemicals
LYV,"2,101,150",85.01,-,-,2023-07-27,After Close,4.4,Communication Services,Entertainment
M,"10,412,740",11.36,-,-,2023-08-22,Before Market Open,5.7,Consumer Cyclical,Department Stores
MA,"2,417,720",413.34,-,-,2023-07-27,Before Market Open,4.2,Financial,Credit Services
MAC,"2,521,560",12.15,-,-,2023-08-08,Before Market Open,1.7,Real Estate,REIT - Retail
MACK,"105,800",12.41,-,-,2023-08-03,After Close,-,Healthcare,Biotechnology
MAR,"2,034,920",204.21,-,-,2023-08-01,Before Market Open,2.8,Consumer Cyclical,Lodging
MAS,"1,701,490",55.88,-,-,2023-07-27,Before Market Open,4.2,Industrials,Building Products & Equipment
MAT,"3,453,380",21.24,-,-,2023-07-26,After Close,6.3,Consumer Cyclical,Leisure
MBLY,"2,542,460",36.24,-,-,2023-07-27,Before Market Open,-,Consumer Cyclical,Auto Parts
MCD,"2,354,070",284.76,-,-,2023-07-27,Before Market Open,2,Consumer Cyclical,Restaurants
MCHP,"4,749,010",80.03,-,-,2023-08-03,After Close,-,Technology,Semiconductors
MCK,"761,680",419.60,-,-,2023-08-02,After Close,3.9,Healthcare,Medical Distribution
MCO,"671,640",348.86,-,-,2023-07-25,Before Market Open,-,Financial,Financial Data & Stock Exchanges
MD,"433,370",12.55,-,-,2023-08-03,Before Market Open,-,Healthcare,Medical Care Facilities
MDC,"645,400",44.75,-,-,2023-07-27,Before Market Open,-,Consumer Cyclical,Residential Construction
MDLZ,"6,166,430",72.38,-,-,2023-07-27,After Close,3.2,Consumer Defensive,Confectioners
MDRX,"830,260",12.47,-,-,-,-,-,Healthcare,Health Information Services
MDT,"4,756,550",81.96,-,-,2023-08-22,Before Market Open,3.1,Healthcare,Medical Devices
MDU,"1,906,140",19.89,-,-,2023-08-08,Before Market Open,-,Industrials,Conglomerates
MEOH,"245,280",41.44,-,-,2023-07-26,After Close,-,Basic Materials,Chemicals
MET,"3,933,680",65.93,-,-,2023-08-02,After Close,3,Financial,Insurance - Life
META,"23,669,860",311.72,-,-,2023-07-26,After Close,-,Communication Services,Internet Content & Information
MFC,"3,414,420",19.23,-,-,2023-08-09,After Close,-,Financial,Insurance - Life
MGA,"1,136,180",56.52,-,-,2023-08-04,Before Market Open,-,Consumer Cyclical,Auto Parts
MGM,"4,462,340",41.58,-,-,2023-08-02,After Close,4.3,Consumer Cyclical,Resorts & Casinos
MKC,"1,360,350",80.38,-,-,2023-10-03,Before Market Open,-,Consumer Defensive,Packaged Foods
MLM,"383,810",435.80,-,-,2023-07-27,Before Market Open,-,Basic Materials,Building Materials
MMC,"1,432,270",198.55,-,-,2023-07-20,Before Market Open,2.7,Financial,Insurance Brokers
MMM,"3,697,750",102.32,-,-,2023-07-25,Before Market Open,3.1,Industrials,Conglomerates
MMP,"1,158,540",69.28,-,-,2023-08-03,Before Market Open,1.6,Energy,Oil & Gas Midstream
MNST,"4,316,590",56.87,-,-,2023-08-03,After Close,5.2,Consumer Defensive,Beverages - Non-Alcoholic
MO,"7,379,910",44.10,-,-,2023-08-01,Before Market Open,-,Consumer Defensive,Tobacco
MOH,"453,430",326.99,-,-,2023-07-26,After Close,-,Healthcare,Healthcare Plans
MOMO,"1,265,630",7.22,-,-,2023-08-31,Before Market Open,9.2,Communication Services,Internet Content & Information
MOS,"3,637,780",38.84,-,-,2023-08-01,After Close,5.1,Basic Materials,Agricultural Inputs
MPC,"3,339,380",156.19,-,-,2023-08-01,Before Market Open,-,Energy,Oil & Gas Refining & Marketing
MPLX,"1,795,300",34.92,-,-,2023-08-01,Before Market Open,-,Energy,Oil & Gas Midstream
MRC,"628,130",10.36,-,-,2023-08-07,After Close,-,Energy,Oil & Gas Equipment & Services
MRK,"7,370,390",108.24,-,-,2023-08-01,Before Market Open,2.5,Healthcare,Drug Manufacturers - General
MRO,"11,302,100",27.33,-,-,2023-08-02,After Close,3.3,Energy,Oil & Gas E&P
MS,"7,084,160",89.07,-,-,2023-07-18,Before Market Open,2.6,Financial,Capital Markets
MSCI,"438,110",538.69,-,-,2023-07-25,Before Market Open,-,Financial,Financial Data & Stock Exchanges
MSFT,"25,399,350",338.70,-,-,2023-07-25,After Close,3.2,Technology,Software - Infrastructure
MSI,"753,560",284.83,-,-,2023-08-03,After Close,-,Technology,Communication Equipment
MTB,"1,012,800",128.94,-,-,2023-07-19,Before Market Open,-,Financial,Banks - Regional
MTCH,"4,381,640",44.04,-,-,2023-08-01,After Close,4.7,Communication Services,Internet Content & Information
MTDR,"1,534,280",62.88,-,-,2023-07-25,After Close,3.9,Energy,Oil & Gas E&P
MTW,"297,950",14.76,-,-,2023-08-07,After Close,-,Industrials,Farm & Heavy Construction Machinery
MTZ,"709,570",87.19,-,-,2023-08-03,After Close,6.8,Industrials,Engineering & Construction
MU,"14,175,780",71.79,-,-,2023-09-27,After Close,6.3,Technology,Semiconductors
MUR,"1,593,930",46.16,-,-,2023-08-03,Before Market Open,3.7,Energy,Oil & Gas E&P
MXL,"1,363,860",22.83,-,-,2023-07-26,After Close,9.3,Technology,Semiconductors
MYGN,"486,920",16.54,-,-,2023-08-03,After Close,12.7,Healthcare,Diagnostics & Research
NAT,"2,586,440",3.78,-,-,2023-08-28,Before Market Open,-,Industrials,Marine Shipping
NAVI,"1,314,010",17.73,-,-,2023-07-26,Before Market Open,-,Financial,Credit Services
NBIX,"763,920",113.78,-,-,2023-08-01,Before Market Open,-,Healthcare,Drug Manufacturers - Specialty & Generic
NBR,"203,590",135.90,-,-,2023-07-25,After Close,-,Energy,Oil & Gas Drilling
NCLH,"12,959,780",17.28,-,-,2023-08-01,Before Market Open,4.4,Consumer Cyclical,Travel Services
NCR,"1,087,820",27.59,-,-,2023-08-02,After Close,6,Technology,Information Technology Services
NDAQ,"3,247,250",51.47,-,-,2023-07-19,Before Market Open,-,Financial,Financial Data & Stock Exchanges
NE,"1,444,400",53.52,-,-,2023-08-02,After Close,-,Energy,Oil & Gas Drilling
NEE,"8,223,880",69.28,-,-,2023-07-25,Before Market Open,1.8,Utilities,Utilities - Regulated Electric
NEM,"7,087,530",39.52,-,-,2023-07-20,Before Market Open,3.1,Basic Materials,Gold
NFG,"623,260",54.38,-,-,2023-08-02,After Close,-,Energy,Oil & Gas Integrated
NFLX,"6,264,620",400.49,-,-,2023-07-19,After Close,10.7,Communication Services,Entertainment
NGL,"445,160",3.84,-,-,2023-08-09,After Close,-,Energy,Oil & Gas Midstream
NKE,"7,547,710",97.19,-,-,2023-09-28,After Close,4.9,Consumer Cyclical,Footwear & Accessories
NKTR,"7,035,750",0.67,-,-,2023-08-08,After Close,7.3,Healthcare,Biotechnology
NNN,"1,468,370",38.48,-,-,2023-08-02,Before Market Open,1.6,Real Estate,REIT - Retail
NOC,"689,430",432.32,-,-,2023-07-27,Before Market Open,-,Industrials,Aerospace & Defense
NOV,"4,066,300",20.85,-,-,2023-07-26,After Close,4.3,Energy,Oil & Gas Equipment & Services
NOW,"1,101,400",590.11,-,-,2023-07-26,After Close,6.7,Technology,Software - Application
NRG,"4,021,630",39.14,-,-,2023-08-08,Before Market Open,3.2,Utilities,Utilities - Independent Power Producers
NSC,"1,160,210",206.60,-,-,2023-07-27,Before Market Open,3.5,Industrials,Railroads
NTAP,"2,178,430",78.55,-,-,2023-08-23,After Close,-,Technology,Computer Hardware
NTCT,"372,550",27.78,-,-,2023-07-27,Before Market Open,-,Technology,Software - Infrastructure
NTES,"1,009,750",101.76,-,-,2023-08-24,Before Market Open,-,Communication Services,Electronic Gaming & Multimedia
NTRS,"1,381,660",73.46,-,-,2023-07-19,Before Market Open,-,Financial,Asset Management
NUE,"1,279,410",165.53,-,-,2023-07-25,Before Market Open,2.7,Basic Materials,Steel
NUS,"809,170",23.95,-,-,2023-08-01,After Close,-,Consumer Defensive,Household & Personal Products
NVAX,"8,807,100",7.99,-,-,2023-08-08,Before Market Open,11,Healthcare,Biotechnology
NVDA,"50,290,820",455.81,-,-,2023-08-23,After Close,6.8,Technology,Semiconductors
NVO,"1,685,710",192.87,-,-,2023-08-10,Before Market Open,4,Healthcare,Biotechnology
NVS,"1,384,760",101.83,-,-,2023-07-18,Before Market Open,-,Healthcare,Drug Manufacturers - General
NWL,"5,611,240",9.72,-,-,2023-07-28,Before Market Open,8.5,Consumer Defensive,Household & Personal Products
NWSA,"2,231,960",20.51,-,-,2023-08-10,After Close,5.3,Communication Services,Entertainment
NXPI,"2,210,580",202.69,-,-,2023-07-24,After Close,4,Technology,Semiconductors
O,"5,157,160",55.12,-,-,2023-08-02,After Close,-,Real Estate,REIT - Retail
OC,"802,850",139.63,-,-,2023-07-26,Before Market Open,4.8,Industrials,Building Products & Equipment
ODFL,"818,740",406.98,-,-,2023-07-26,Before Market Open,-,Industrials,Trucking
OGE,"1,203,730",35.60,-,-,2023-08-09,Before Market Open,-,Utilities,Utilities - Regulated Electric
OHI,"1,706,280",33.30,-,-,2023-08-02,After Close,-,Real Estate,REIT - Healthcare Facilities
OI,"955,760",18.37,-,-,2023-08-01,After Close,7.1,Consumer Cyclical,Packaging & Containers
OII,"954,230",25.09,-,-,2023-07-26,After Close,5.1,Energy,Oil & Gas Equipment & Services
OIS,"617,460",8.70,-,-,2023-07-27,Before Market Open,-,Energy,Oil & Gas Equipment & Services
OKE,"2,755,190",68.53,-,-,2023-08-07,After Close,2.4,Energy,Oil & Gas Midstream
OLED,"290,240",160.70,-,-,2023-08-03,After Close,-,Technology,Electronic Components
OLN,"1,605,920",50.39,-,-,2023-07-27,After Close,4.7,Basic Materials,Specialty Chemicals
OMC,"1,728,890",78.39,-,-,2023-07-18,After Close,2.8,Communication Services,Advertising Agencies
